uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,4
AC,OUTRAS,DOMICILIO,"< 9",M,8
AC,OUTRAS,HOSPITAL,"< 9",F,24
AC,OUTRAS,HOSPITAL,"< 9",I,1
AC,OUTRAS,HOSPITAL,"< 9",M,30
AC,OUTRAS,OUTRO,"< 9",F,2
AC,OUTRAS,OUTRO,"< 9",M,1
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,OUTRAS,VIA_PUBLICA,"< 9",F,2
AC,OUTRAS,VIA_PUBLICA,"< 9",M,1
AC,COVID,HOSPITAL,"< 9",M,1
AC,INDETERMINADA,HOSPITAL,"< 9",F,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,4
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
AC,PNEUMONIA,DOMICILIO,"< 9",M,1
AC,PNEUMONIA,HOSPITAL,"< 9",F,11
AC,PNEUMONIA,HOSPITAL,"< 9",M,10
AC,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,10
AC,SEPTICEMIA,HOSPITAL,"< 9",I,1
AC,SEPTICEMIA,HOSPITAL,"< 9",M,18
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,SRAG,HOSPITAL,"< 9",F,1
AL,OUTRAS,DOMICILIO,"< 9",F,7
AL,OUTRAS,DOMICILIO,"< 9",M,5
AL,OUTRAS,HOSPITAL,"< 9",F,112
AL,OUTRAS,HOSPITAL,"< 9",I,1
AL,OUTRAS,HOSPITAL,"< 9",M,144
AL,OUTRAS,IGNORADO,"< 9",M,1
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AL,OUTRAS,VIA_PUBLICA,"< 9",F,1
AL,OUTRAS,VIA_PUBLICA,"< 9",M,1
AL,INDETERMINADA,HOSPITAL,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",M,1
AL,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,13
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,16
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,PNEUMONIA,DOMICILIO,"< 9",M,2
AL,PNEUMONIA,HOSPITAL,"< 9",F,13
AL,PNEUMONIA,HOSPITAL,"< 9",M,17
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,44
AL,SEPTICEMIA,HOSPITAL,"< 9",M,82
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,SRAG,HOSPITAL,"< 9",F,1
AL,SRAG,HOSPITAL,"< 9",M,1
AM,OUTRAS,DOMICILIO,"< 9",F,11
AM,OUTRAS,DOMICILIO,"< 9",M,18
AM,OUTRAS,HOSPITAL,"< 9",F,158
AM,OUTRAS,HOSPITAL,"< 9",I,4
AM,OUTRAS,HOSPITAL,"< 9",M,157
AM,OUTRAS,IGNORADO,"< 9",M,3
AM,OUTRAS,OUTRO,"< 9",F,8
AM,OUTRAS,OUTRO,"< 9",M,11
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,3
AM,COVID,HOSPITAL,"< 9",F,2
AM,COVID,HOSPITAL,"< 9",M,2
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,14
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,34
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,2
AM,PNEUMONIA,DOMICILIO,"< 9",F,2
AM,PNEUMONIA,DOMICILIO,"< 9",M,1
AM,PNEUMONIA,HOSPITAL,"< 9",F,24
AM,PNEUMONIA,HOSPITAL,"< 9",M,19
AM,PNEUMONIA,OUTRO,"< 9",F,2
AM,PNEUMONIA,OUTRO,"< 9",M,2
AM,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,SEPTICEMIA,HOSPITAL,"< 9",F,64
AM,SEPTICEMIA,HOSPITAL,"< 9",M,78
AM,SEPTICEMIA,OUTRO,"< 9",F,1
AM,SEPTICEMIA,OUTRO,"< 9",M,3
AM,SRAG,HOSPITAL,"< 9",F,5
AM,SRAG,HOSPITAL,"< 9",M,3
AP,OUTRAS,DOMICILIO,"< 9",F,1
AP,OUTRAS,HOSPITAL,"< 9",F,14
AP,OUTRAS,HOSPITAL,"< 9",M,16
AP,OUTRAS,IGNORADO,"< 9",M,1
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AP,INDETERMINADA,HOSPITAL,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
AP,PNEUMONIA,HOSPITAL,"< 9",F,5
AP,PNEUMONIA,HOSPITAL,"< 9",M,8
AP,SEPTICEMIA,DOMICILIO,"< 9",M,1
AP,SEPTICEMIA,HOSPITAL,"< 9",F,12
AP,SEPTICEMIA,HOSPITAL,"< 9",M,11
AP,SEPTICEMIA,IGNORADO,"< 9",M,1
BA,OUTRAS,DOMICILIO,"< 9",F,14
BA,OUTRAS,DOMICILIO,"< 9",M,23
BA,OUTRAS,HOSPITAL,"< 9",F,339
BA,OUTRAS,HOSPITAL,"< 9",I,10
BA,OUTRAS,HOSPITAL,"< 9",M,373
BA,OUTRAS,IGNORADO,"< 9",M,2
BA,OUTRAS,OUTRO,"< 9",F,2
BA,OUTRAS,OUTRO,"< 9",M,11
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,17
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,12
BA,OUTRAS,VIA_PUBLICA,"< 9",F,2
BA,OUTRAS,VIA_PUBLICA,"< 9",M,1
BA,COVID,HOSPITAL,"< 9",F,2
BA,COVID,HOSPITAL,"< 9",M,1
BA,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,INDETERMINADA,DOMICILIO,"< 9",M,1
BA,INDETERMINADA,HOSPITAL,"< 9",M,3
BA,INDETERMINADA,VIA_PUBLICA,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,4
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,5
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,78
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,3
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,107
BA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
